"File","FullPath","Extension","Risk","Disqualifiers","HitCount"
"GMAVHTM.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMAVHTM.CBL",".CBL","LOW","NONE","0"
"GMAVSTK.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMAVSTK.CBL",".CBL","LOW","NONE","0"
"GMAVVAR.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMAVVAR.CBL",".CBL","HIGH","C3","18"
"GMAWKMON.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMAWKMON.CBL",".CBL","MEDIUM","B-FILEIO","1"
"GMAX91.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMAX91.CBL",".CBL","LOW","NONE","0"
"GMAX91L.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMAX91L.CBL",".CBL","LOW","NONE","0"
"GMBAKTI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBAKTI.CBL",".CBL","HIGH","C3","10"
"GMBAUTI.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBAUTI.CBL",".CBL","HIGH","C3,B-FILEIO","12"
"GMBFILER.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFILER.CBL",".CBL","HIGH","C3,B-FILEIO","15"
"GMBFIOR.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFIOR.CBL",".CBL","HIGH","C3,B-FILEIO","16"
"GMBFIPR.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFIPR.CBL",".CBL","HIGH","C3,B-FILEIO","15"
"GMBFIPR1.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFIPR1.CBL",".CBL","HIGH","C3,B-FILEIO","15"
"GMBFIPR2.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFIPR2.CBL",".CBL","HIGH","C3,B-FILEIO","15"
"GMBFIPR3.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFIPR3.CBL",".CBL","HIGH","C3,B-FILEIO","15"
"GMBFIPR4.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFIPR4.CBL",".CBL","HIGH","C3,B-FILEIO","15"
"GMBFIPR5.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFIPR5.CBL",".CBL","HIGH","C3,B-FILEIO","15"
"GMBFIPR6.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFIPR6.CBL",".CBL","HIGH","C3,B-FILEIO","15"
"GMBFIPR7.CBL","C:\opt\data\AutoDocJson\tmp\DedgeRepository\Dedge\cbl\GMBFIPR7.CBL",".CBL","HIGH","C3,B-FILEIO","15"
